file,config,condition,T_frames,tau_frames
GAL1-10_cis_1xOsTIR1_IAA_cross-correlation.txt,cis,IAA,3570.0000000000005,60.0
GAL1-10_cis_1xOsTIR1_noIAA_cross-correlation.txt,cis,noIAA,3570.0000000000005,40.0
GAL1-10_cis_2xOsTIR1_IAA_cross-correlation.txt,cis,IAA,1785.0000000000002,0.0
GAL1-10_cis_2xOsTIR1_noIAA_cross-correlation.txt,cis,noIAA,3570.0000000000005,0.0
GAL1-10_cis_IAA_Gal4UASscr_cross-correlation.txt,cis,IAA,892.5000000000001,20.0
GAL1-10_cis_IAA_cross-correlation_Figure2_PanelC.txt,cis,IAA,1785.0000000000002,0.0
GAL1-10_cis_IAA_cross-correlation_Figure4_PanelE.txt,cis,IAA,1785.0000000000002,0.0
GAL1-10_cis_WT_cross-correlation.txt,cis,WT,3570.0000000000005,0.0
GAL1-10_cis_noIAA_Gal4UASscr_cross-correlation.txt,cis,noIAA,357.00000000000006,40.0
GAL1-10_cis_noIAA_auxinole_cross-correlation.txt,cis,noIAA,1785.0000000000002,0.0
GAL1-10_cis_noIAA_cross-correlation_Figure2_PanelB.txt,cis,noIAA,3570.0000000000005,0.0
GAL1-10_cis_noIAA_cross-correlation_Figure4_PanelD.txt,cis,noIAA,3570.0000000000005,0.0
GAL1-10_trans_IAA_cross-correlation.txt,trans,IAA,3570.0000000000005,0.0
GAL1-10_trans_WT_cross-correlation.txt,trans,WT,3570.0000000000005,0.0
GAL1-10_trans_noIAA_cross-correlation.txt,trans,noIAA,3570.0000000000005,0.0
GAL10-7_cis_1xOsTIR1_IAA_cross-correlation.txt,cis,IAA,3570.0000000000005,0.0
GAL10-7_cis_1xOsTIR1_noIAA_cross-correlation.txt,cis,noIAA,3570.0000000000005,50.0
GAL10-7_cis_2xOsTIR1_IAA_cross-correlation.txt,cis,IAA,3570.0000000000005,0.0
GAL10-7_cis_2xOsTIR1_noIAA_cross-correlation.txt,cis,noIAA,1190.0,0.0
GAL10-7_cis_IAA_cross-correlation.txt,cis,IAA,324.54545454545456,0.0
GAL10-7_cis_WT_cross-correlation.txt,cis,WT,1785.0000000000002,0.0
GAL10-7_cis_noIAA_auxinole_cross-correlation.txt,cis,noIAA,3570.0000000000005,0.0
GAL10-7_cis_noIAA_cross-correlation.txt,cis,noIAA,1190.0,0.0
GAL10-7_trans_IAA_cross-correlation.txt,trans,IAA,3570.0000000000005,0.0
GAL10-7_trans_WT_cross-correlation.txt,trans,WT,714.0000000000001,0.0
GAL10-7_trans_noIAA_cross-correlation.txt,trans,noIAA,3570.0000000000005,0.0
